created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2023-01-11T06:07:03+00:00,1,0,0,0,0,0,0,,,,
2023-01-11T06:07:55+00:00,2,0,0,0,0,0,0,,,,
2023-01-11T08:06:33+00:00,3,0,0,0,0,0,0,,,,
2023-01-19T03:25:23+00:00,4,14,30,60,76,25,"68

",,,,
2023-01-19T03:25:44+00:00,5,10,26,55,67,25,"67

",,,,
2023-01-19T03:26:05+00:00,6,9,26,55,67,25,"65

",,,,
2023-01-19T03:26:26+00:00,7,8,25,55,67,25,"64

",,,,
2023-01-19T03:26:47+00:00,8,8,26,56,69,25,"64

",,,,
2023-01-19T03:27:08+00:00,9,8,27,62,76,25,"63

",,,,
2023-01-19T03:27:28+00:00,10,8,30,62,74,25,"63

",,,,
2023-01-19T03:27:49+00:00,11,8,27,56,70,25,"63

",,,,
2023-01-19T03:28:10+00:00,12,7,27,57,69,25,"63

",,,,
2023-01-19T03:28:31+00:00,13,5,27,58,72,25,"63

",,,,
2023-01-19T03:28:52+00:00,14,6,24,53,68,25,"63

",,,,
2023-01-19T03:29:13+00:00,15,10,31,61,76,25,"63

",,,,
2023-01-19T03:29:33+00:00,16,11,27,54,69,25,"63

",,,,
2023-01-19T03:29:54+00:00,17,6,26,55,71,25,"63

",,,,
2023-01-19T03:30:15+00:00,18,7,27,56,74,25,"63

",,,,
2023-01-19T03:44:40+00:00,19,5,28,63,79,25,"63

",,,,
2023-01-19T03:45:01+00:00,20,4,21,52,70,25,"63

",,,,
2023-01-19T03:45:22+00:00,21,4,22,52,72,25,"63

",,,,
2023-01-19T03:45:43+00:00,22,4,27,62,82,25,"63

",,,,
2023-01-19T03:46:04+00:00,23,3,22,50,69,25,"63

",,,,
2023-01-19T03:46:25+00:00,24,4,28,65,83,25,"63

",,,,
2023-01-25T07:57:33+00:00,25,0,,,,,,,,,
2023-01-25T14:14:27+00:00,26,62,60,58,67,0,"0

",,,,
2023-01-25T14:14:48+00:00,27,83,78,76,79,0,"0

",,,,
2023-01-25T14:15:05+00:00,28,5,18,33,44,0,"0

",,,,
2023-01-25T14:15:44+00:00,29,4,15,30,44,25,"70

",,,,
2023-01-25T14:16:05+00:00,30,4,21,39,54,26,"69

",,,,
2023-01-25T14:16:26+00:00,31,4,20,38,53,26,"62

",,,,
2023-01-25T14:16:46+00:00,32,33,39,48,58,26,"59

",,,,
2023-01-25T14:17:07+00:00,33,5,21,34,46,26,"57

",,,,
2023-01-25T14:17:28+00:00,34,3,19,32,44,26,"56

",,,,
2023-01-25T14:17:49+00:00,35,3,15,27,40,26,"56

",,,,
2023-01-25T14:18:10+00:00,36,4,19,32,43,25,"56

",,,,
2023-01-25T14:18:31+00:00,37,3,19,31,43,25,"56

",,,,
2023-01-25T14:18:51+00:00,38,3,19,31,42,26,"56

",,,,
2023-01-25T14:19:12+00:00,39,3,18,30,41,26,"54

",,,,
2023-01-25T14:19:33+00:00,40,3,18,31,42,26,"54

",,,,
2023-01-25T14:19:55+00:00,41,3,18,29,37,26,"54

",,,,
2023-01-25T14:21:10+00:00,42,1,43,42,74,25,"58

",,,,
2023-01-25T14:21:31+00:00,43,1,10,18,34,26,"58

",,,,
2023-01-25T14:21:52+00:00,44,2,13,18,33,25,"57

",,,,
2023-01-25T14:22:12+00:00,45,1,7,12,27,25,"57

",,,,
2023-01-25T14:22:33+00:00,46,3,14,19,42,26,"56

",,,,
2023-01-25T14:22:54+00:00,47,1,6,12,26,26,"56

",,,,
2023-01-25T14:23:15+00:00,48,1,5,11,24,26,"56

",,,,
2023-01-25T14:23:36+00:00,49,1,5,11,23,26,"54

",,,,
2023-01-25T14:23:56+00:00,50,2,6,10,23,26,"55

",,,,
2023-01-25T14:24:17+00:00,51,1,6,10,23,26,"54

",,,,
2023-01-25T14:24:38+00:00,52,1,6,10,22,26,"54

",,,,
2023-01-25T14:24:58+00:00,53,1,5,10,22,26,"54

",,,,
2023-01-25T14:25:19+00:00,54,1,5,10,22,26,"54

",,,,
